location,index,block,treatment,depth,soil_carbon,no3,nh4,p,icp_k,site,depth_cm
WIU,41,I,Ann Ryegrass,8-10,1.5,3.9,7.2,17.9,115.5,wiu,8
WIU,42,I,Ann Ryegrass,10-15,1.6,5.9,9.8,16.6,98.9,wiu,10
WIU,43,I,Ann Ryegrass,15-20,1.6,8,6,14.3,96.2,wiu,15
WIU,44,I,Ann Ryegrass,20-25,1.5,1.8,6,10.7,84.4,wiu,20
WIU,45,I,Ann Ryegrass,25-30,1.4,3.2,6.5,11.1,90.6,wiu,25
WIU,46,I,Golden PC,0-2,2.3,5.6,16.2,42.8,305.1,wiu,0
WIU,47,I,Golden PC,2-4,2,9.2,8.5,30.6,244,wiu,2
WIU,48,I,Golden PC,4-6,1.8,8.8,7.1,22.9,176.6,wiu,4
WIU,49,I,Golden PC,6-8,1.8,11.3,9.4,21.3,178.7,wiu,6
WIU,50,I,Golden PC,8-10,1.6,11,8.7,19.4,134.2,wiu,8
WIU,51,I,Golden PC,10-15,1.5,12,9.3,14.2,107.3,wiu,10
WIU,52,I,Golden PC,15-20,1.5,9,8.1,12.1,102,wiu,15
WIU,53,I,Golden PC,20-25,1.5,9.5,7.8,11.3,87.2,wiu,20
WIU,54,I,Golden PC,25-30,1.6,13.3,6.5,12.4,92.9,wiu,25
WIU,55,II,Control,0-2,2,1.7,10.9,48,254.2,wiu,0
WIU,56,II,Control,2-4,1.8,4.1,11.2,31.9,163.3,wiu,2
WIU,57,II,Control,4-6,1.8,5,12.8,23,127.6,wiu,4
WIU,58,II,Control,6-8,1.8,7,9.2,18.5,117.8,wiu,6
WIU,59,II,Control,8-10,1.7,6.5,5.9,16.1,113.1,wiu,8
WIU,60,II,Control,10-15,1.6,6.6,5.2,14.3,104.9,wiu,10
WIU,61,II,Control,15-20,1.7,8.9,4.7,13.3,100.3,wiu,15
WIU,62,II,Control,20-25,1.6,9.9,4.4,12.6,92.8,wiu,20
WIU,63,II,Control,25-30,1.5,15.2,4,11,85.5,wiu,25
WIU,64,II,PCRO,0-2,2.3,5.7,18.7,44.2,314.4,wiu,0
WIU,65,II,PCRO,2-4,1.9,5.8,8.9,28.1,249.7,wiu,2
WIU,66,II,PCRO,4-6,1.7,7.9,8.5,22.9,184.3,wiu,4
WIU,67,II,PCRO,6-8,1.6,5.7,7.1,19.1,142.4,wiu,6
WIU,68,II,PCRO,8-10,1.5,7.3,6.5,20.3,138.1,wiu,8
WIU,69,II,PCRO,10-15,1.6,10.3,6.2,20.2,128.7,wiu,10
WIU,70,II,PCRO,15-20,1.6,10,7.3,15.7,102.6,wiu,15
WIU,71,II,PCRO,20-25,1.6,6,5.9,12.4,102,wiu,20
WIU,72,II,PCRO,25-30,1.4,3.2,5.9,10.6,92.1,wiu,25
WIU,73,II,Wild PC,0-2,2.2,11.3,6.3,34.5,291.4,wiu,0
WIU,74,II,Wild PC,2-4,1.8,7.1,4,20.4,217.4,wiu,2
WIU,75,II,Wild PC,4-6,1.7,5.8,4.5,17.9,152.4,wiu,4
WIU,76,II,Wild PC,6-8,1.6,6.5,5.1,16.2,132.5,wiu,6
WIU,77,II,Wild PC,8-10,1.6,4.3,4.9,14.2,115.3,wiu,8
WIU,78,II,Wild PC,10-15,1.6,4.6,4.5,13,101.7,wiu,10
WIU,79,II,Wild PC,15-20,1.5,7.5,4.5,12.3,102.8,wiu,15
WIU,80,II,Wild PC,20-25,1.5,5.7,5.6,12.2,92.8,wiu,20
WIU,81,II,Wild PC,25-30,1.6,10.9,13.9,12.1,94.3,wiu,25
WIU,82,II,Cereal Rye,0-2,2.4,8.7,17.2,41,330.8,wiu,0
WIU,83,II,Cereal Rye,2-4,2,10,12.5,32,306.6,wiu,2
WIU,84,II,Cereal Rye,4-6,1.9,9.4,7,25.4,242,wiu,4
WIU,85,II,Cereal Rye,6-8,1.7,10.6,5.3,22.2,193.9,wiu,6
WIU,86,II,Cereal Rye,8-10,1.5,12.4,5,14.8,154.4,wiu,8
WIU,87,II,Cereal Rye,10-15,1.5,16,5.7,15.9,137.9,wiu,10
WIU,88,II,Cereal Rye,15-20,1.7,19.1,6.7,20.1,130.3,wiu,15
WIU,89,II,Cereal Rye,20-25,1.6,16.3,5.9,21.6,118.8,wiu,20
WIU,90,II,Cereal Rye,25-30,1.5,56,14,20.7,112.5,wiu,25
WIU,91,II,Ann Ryegrass,0-2,2.2,61,11.6,42.7,263.3,wiu,0
WIU,92,II,Ann Ryegrass,2-4,1.8,46.2,20.2,32,220.2,wiu,2
WIU,93,II,Ann Ryegrass,4-6,1.5,37.6,27.8,25.3,151.7,wiu,4
WIU,94,II,Ann Ryegrass,6-8,1.6,25,17.4,23.8,147.8,wiu,6
WIU,95,II,Ann Ryegrass,8-10,1.5,25.8,12.1,19,120,wiu,8
WIU,96,II,Ann Ryegrass,10-15,1.4,24.7,5.3,14,117,wiu,10
WIU,97,II,Ann Ryegrass,15-20,1.4,19.7,4.9,12,101.9,wiu,15
WIU,98,II,Ann Ryegrass,20-25,1.3,21.2,6,15,113.8,wiu,20
WIU,99,II,Ann Ryegrass,25-30,1.3,6.6,7.4,11.1,97.4,wiu,25
WIU,100,II,Golden PC,0-2,2.2,5.5,4.4,47.6,384.6,wiu,0
WIU,101,II,Golden PC,2-4,1.8,12.4,4.3,28.9,259.3,wiu,2
WIU,102,II,Golden PC,4-6,1.6,7.3,5.8,25.8,206.8,wiu,4
WIU,103,II,Golden PC,6-8,1.4,4.7,5.5,22.1,166,wiu,6
WIU,104,II,Golden PC,8-10,1.4,8.6,5.4,18.8,135,wiu,8
